BusNum BusName BusNomVolt BusSlack BusB:1 BusG:1 BusPUVolt BusAngle DCLossMultiplier AreaNum ZoneNum BANumber OwnerNum SubNum Latitude:1 Longitude:1 BusMonEle LSName BusVoltLim BusVoltLimLow:1 BusVoltLimLow:2 BusVoltLimLow:3 BusVoltLimLow:4 BusVoltLimHigh:1 BusVoltLimHigh:2 BusVoltLimHigh:3 BusVoltLimHigh:4 Latitude Longitude TopologyBusType Priority EMSType EMSDeviceID DataMaintainerAssign AllLabels GICConductance
  1001 "ODESSA 2 0"   115.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 0.97943564576828301400 -22.73484371302394180000 1.00000000000000000000      1      9      1      1 1    31.906736  -102.262348 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1002 "PRESIDIO 2 0" 115.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.01273638906515728000 -18.08854490372098670000 1.00000000000000000000      1      9      1      1 2    29.888046  -104.519139 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1003 "O DONNELL 1 0" 115.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.00926289629446408000 -17.08669935792778460000 1.00000000000000000000      1      9      1      1 3    32.926389  -101.647778 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1004 "O DONNELL 1 1" 230.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.01307071238921131000 -18.93399887767440150000 1.00000000000000000000      1      9      1      1 3    32.926389  -101.647778 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" ""   132.104346
  1005 "BIG SPRING 5 0" 115.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.00557608733691706000 -16.07715710466700540000 1.00000000000000000000      1      9      1      1 4    32.207500  -101.388333 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1006 "BIG SPRING 5 1" 13.80000019073486330000 "NO " 0.00000000000000000000 0.00000000000000000000 0.99999999999994881900 -13.90559067844956510000 1.00000000000000000000      1      9      1      1 4    32.207500  -101.388333 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1007 "VAN HORN 0"   115.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.01999998092646194000 -18.46721236518943240000 1.00000000000000000000      1      9      1      1 5    31.093480  -104.624514 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1008 "IRAAN 2 0"    115.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.01928505848492779000 -8.60520741778047693000 1.00000000000000000000      1      9      1      1 6    30.931467  -102.201433 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1009 "IRAAN 2 1"    13.80000019073486330000 "NO " 0.00000000000000000000 0.00000000000000000000 1.00924016782113846000 -5.30959754585988364000 1.00000000000000000000      1      9      1      1 6    30.931467  -102.201433 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1010 "PRESIDIO 1 0" 115.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.01999998092645328000 -16.79235458313289090000 1.00000000000000000000      1      9      1      1 7    29.600000  -104.300000 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1011 "PRESIDIO 1 1" 22.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.02021113768778959000 -15.00982550171449500000 1.00000000000000000000      1      9      1      1 7    29.600000  -104.300000 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1012 "SANDERSON 0"  115.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.00599209012913215000 -25.34278346976286040000 1.00000000000000000000      1      9      1      1 8    30.028067  -101.970461 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1013 "MONAHANS 2 0" 115.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.00567720384987846000 -15.43656456892971640000 1.00000000000000000000      1      9      1      1 9    31.484586  -103.161046 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1014 "GRANDFALLS 0" 115.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.01235047332479366000 -11.91324967317703100000 1.00000000000000000000      1      9      1      1 10    31.169523  -103.085134 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
  1015 "MARFA 0"      115.00000000000000000000 "NO " 0.00000000000000000000 0.00000000000000000000 1.02181768769137071000 -18.21450061899778920000 1.00000000000000000000      1      9      1      1 11    30.285296  -104.005761 "YES" "Default" "NO " "" "" "" "" "" "" "" "" "" "" "BusbarSection" 0 "" "" "" "" ""
