BusNum,BusNum:1,LineCircuit,BranchDeviceType,ConsolidateBranch,LineStatus,NormLineStatus,SeriesCapStatus,LineMeter:1,LineR,LineX,LineC,LineG,LineLength,LineMonEle,LSName,LineAMVA,LineAMVA:1,LineAMVA:2,LineAMVA:3,LineAMVA:4,LineAMVA:5,LineAMVA:6,LineAMVA:7,LineAMVA:8,LineAMVA:9,LineAMVA:10,LineAMVA:11,LineAMVA:12,LineAMVA:13,LineAMVA:14,OwnerNum,OwnPercent
1001,1064,1,Line,,Closed,Closed,NO,1001,0.00524,0.035799999,0.00609,0,0,YES,Default,221.0000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1001,1064,2,Line,,Closed,Closed,NO,1001,0.00524,0.035799999,0.00609,0,0,YES,Default,221.0000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1001,1071,1,Line,,Closed,Closed,NO,1001,0.00435,0.02808,0.00536,0,0,YES,Default,221.0000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1001,1071,2,Line,,Closed,Closed,NO,1001,0.00435,0.02808,0.00536,0,0,YES,Default,221.0000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1002,1007,1,Line,,Closed,Closed,NO,1002,0.077760004,0.466930002,0.063359998,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1010,1002,1,Line,,Closed,Closed,NO,1010,0.055520002,0.135700002,0.01777,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1022,1003,1,Line,,Closed,Closed,NO,1022,0.00485,0.02012,0.00341,0,0,YES,Default,221.0000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1055,1003,1,Line,,Closed,Closed,NO,1055,0.01574,0.03782,0.00513,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1004,3133,1,Line,,Closed,Closed,NO,1004,0.0042,0.029999999,0.055,0,0,YES,Default,523.0000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1025,1005,1,Line,,Closed,Closed,NO,1025,0.01842,0.082099997,0.01204,0,0,YES,Default,149.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1005,1061,1,Line,,Closed,Closed,NO,1005,0.00599,0.024839999,0.00422,0,0,YES,Default,221.0000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1067,1005,1,Line,,Closed,Closed,NO,1067,0.017109999,0.041809998,0.00548,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1007,1015,1,Line,,Closed,Closed,NO,1007,0.062240001,0.373750001,0.050719999,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1031,1007,1,Line,,Closed,Closed,NO,1031,0.04803,0.274340004,0.041230001,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1008,1032,1,Line,,Closed,Closed,NO,1008,0.04501,0.110019997,0.01441,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1008,1069,1,Line,,Closed,Closed,NO,1008,0.0083,0.036279999,0.00553,0,0,YES,Default,149.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1010,1015,1,Line,,Closed,Closed,NO,1010,0.047029998,0.282429993,0.03833,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1010,1030,1,Line,,Closed,Closed,NO,1010,0.0616,0.369899988,0.0502,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1012,1087,1,Line,,Closed,Closed,NO,1012,0.049339999,0.204689994,0.034729999,0,0,YES,Default,149.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
3051,1012,1,Line,,Closed,Closed,NO,3051,0.057100002,0.249770001,0.038040001,0,0,YES,Default,149.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1013,1031,1,Line,,Closed,Closed,NO,1013,0.045090001,0.270779997,0.03675,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1047,1013,1,Line,,Closed,Closed,NO,1047,0.00947,0.061170001,0.01167,0,0,YES,Default,221.0000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1086,1013,1,Line,,Closed,Closed,NO,1086,0.079000004,0.193110004,0.025289999,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1014,1047,1,Line,,Closed,Closed,NO,1014,0.035659999,0.147939995,0.0251,0,0,YES,Default,149.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1014,1083,1,Line,,Closed,Closed,NO,1014,0.041049998,0.182929993,0.02682,0,0,YES,Default,149.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1016,1034,1,Line,,Closed,Closed,NO,1016,0.018279999,0.109760001,0.01489,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1068,1016,1,Line,,Closed,Closed,NO,1068,0.027729999,0.158370003,0.023800001,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
1018,1017,1,Line,,Closed,Closed,NO,1018,0.032269999,0.078869998,0.01033,0,0,YES,Default,98.00000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
